Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1956,,,,,,,,,Vignette automobile,"Jusqu'en 2006, la vignette automobile est en application en France",https://drive.google.com/file/d/0BzA98EjH2reWUllrQTA4cVV3a2M/view?usp=sharing,,,,,,
1998,,,,,,,,,Pastille Verte,La pastille verte est en vigueur de 1998 à 2012,,,,,,,http://946.fm/wp-content/uploads/2015/06/pastille-489x179.jpg
2009,,,,,,,,,Norme Euro 5,Norme européenne pour les filtres à particules et pots catalytiques pour véhicules diesel. Cette norme ne sera appliquée en France que le 21 juin 2016,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/ba/Air-pollution.JPG
2015,8,18,,,,,,,Loi pour la croissance verte,"DÉFINIR LES OBJECTIFS COMMUNS POUR RÉUSSIR LA TRANSITION ÉNERGÉTIQUE, RENFORCER L'INDÉPENDANCE ÉNERGÉTIQUE ET LA COMPÉTITIVITÉ ÉCONOMIQUE DE LA FRANCE, PRÉSERVER LA SANTÉ HUMAINE ET L'ENVIRONNEMENT ET LUTTER CONTRE LE CHANGEMENT CLIMATIQUE",,,,,,,https://touatiimmo.files.wordpress.com/2016/01/la-transition-ecc81nergecc81tique-pour-la-croissance-verte.png
2016,6,28,,,,,,,Décret Crit'Air,Le gouvernement publie le décret mettant en place le système Crit'air,,,,,,,"http://static.lexpress.fr/medias_11273/w_2048,h_1146,c_crop,x_0,y_0/w_2000,h_1125,c_fill,g_north/v1483000584/pastille-eco_5771851.jpg"
2016,12,13,,,,,,,Crit'air mis en place à Grenoble,"utilisation des vignettes crit'air pour mettre en place une circulation 
alternée face à un pic de pollution. Pour la première fois, 1/4 du parc 
automobile est bloqué",,,,,,,http://www.francetvinfo.fr/image/759r5jn0k-6400/1200/450/10087597.jpg
2017,1,1,,,,,,,Verbalisation possible à Grenoble,,,,,,,,http://i.f1g.fr/media/ext/805x453_crop/www.lefigaro.fr/medias/2015/02/27/PHO8382c454-bdce-11e4-a31f-13612ed14647-805x453.jpg
2017,1,10,,,,,,,Résultat de la consultation publique ,L'avis est majoritairement défavorable,,,,,,,https://www.sentara.com/Assets/Img/Health-Wellness/ExploreHealth-With-Sentara/Rectangle/thumbs-down.jpg
2017,1,16,,,,,,,Vignettes obligatoires à Paris," Les vignettes sont obligatoires, ainsi que dans 69 villes de la petite couronne",,,,,,,http://paris.eelv.fr/files/2015/09/150901-ZCR-septembre-Najdovski.png
2017,2,13,,,,,,,"Volonté de mise en place à Strasbourg
","L'Eurométropole de Strasbourg ""déploiera d'ici quelques mois des mesures de circulation différenciée, gérées par un système de vignettes, favorisant les véhicules les moins polluants en cas de pic de pollution"", indique-t-elle dans un communiqué",,,,,,,http://i.f1g.fr/media/figaro/805x453_crop/2017/05/05/XVM52bfee74-f453-11e6-9846-871839e5cbf9.jpg
2017,5,5,,,,,,,Renforcement des sanctions,"décret renforcant les sanctions pour non-respect de l'usage des vignettes, et prévoit également des contraventions pour non-respect des mesures d'urgence arrêtées en cas de pic de pollution atmosphériques.",,,,,,,https://www.lesfurets.com/assurance-auto/actualites/wp-content/uploads/sites/2/2017/02/iStock-106594948.jpg
2017,7,1,,,,,,,Verbalisation possible à Paris,"contravention en cas d'absence de présentation de certificat qualité de l'air pour un véhicule circulant dans une zone à circulation restreinte, et en cas de violation des mesures d'urgence arrêtées en cas de pic de pollution atmosphérique»",,,,,,,https://img.over-blog-kiwi.com/0/93/23/69/20170510/ob_d901f2_dessin-voiture-polluante.jpg
2020,,,,,,,,,Interdiction des véhicules diesel à Paris ?,,,,,,,,http://www.location-voiture-blog.fr/wp-content/uploads/2012/09/stop_diesel_FR.jpg
2030,,,,,,,,,Objectif : baisser de 40% les émissions de de gaz à effet de serre par rapport à la référence de 1990,,,,,,,,https://lh3.googleusercontent.com/gr9TpnGThBpf0qdi2bgA-dEOxo1NQQW5u20K2LcngwGcb-QvRVna1TQuo_GXQg795LbDljkQ7aQWQw551Szt-FY60ASDBJXh4U224y5ybfK5nbGPoAtlgCXQh2G5VakOVg0TCCgl